"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/10 1:49:51 PM GMT-3","Milenna","Ticket #51331","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:50:44 PM GMT-3","Caleb Dias ","Ticket: #51411","UFSC"
"2023/05/10 1:50:55 PM GMT-3","Milenna","Ticket #51332","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:52:14 PM GMT-3","Milenna","Ticket #51336","PF"
"2023/05/10 1:53:04 PM GMT-3","Milenna","Ticket #51337","INTERCAMBIO"
"2023/05/10 1:53:27 PM GMT-3","Franciny Batista Silvano","Ticket: #51453","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:54:14 PM GMT-3","juliana"," #51241","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:55:04 PM GMT-3","Caleb Dias ","Ticket: #51428","PF"
"2023/05/10 1:56:33 PM GMT-3","Milenna","Ticket #51339","CAASC 0025"
"2023/05/10 1:56:53 PM GMT-3","arian","Ticket: #51360","CAASC 0025"
"2023/05/10 1:57:46 PM GMT-3","Franciny Batista Silvano","Ticket #51460","PF"
"2023/05/10 1:59:18 PM GMT-3","Milenna","Ticket #51331","PJ COLETIVO ADESÃO"
"2023/05/10 2:00:14 PM GMT-3","Milenna","Ticket #51332","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:00:48 PM GMT-3","arian","Ticket: #51421","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:00:58 PM GMT-3","juliana","#51242","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:01:12 PM GMT-3","Milenna","Ticket #51336","PF"
"2023/05/10 2:01:50 PM GMT-3","Milenna","Ticket #51337","INTERCAMBIO"
"2023/05/10 2:02:12 PM GMT-3","Franciny Batista ","Ticket #51462","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:02:25 PM GMT-3","Milenna","Ticket #51340","INTERCAMBIO"
"2023/05/10 2:03:09 PM GMT-3","Milenna","Ticket #51341","PJ COLETIVO ADESÃO"
"2023/05/10 2:04:04 PM GMT-3","Milenna","Ticket #51357","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:05:29 PM GMT-3","Milenna","Ticket #51358","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:06:21 PM GMT-3","Milenna","Ticket #51367","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:06:51 PM GMT-3","Milenna","Ticket #51368","INTERCAMBIO"
"2023/05/10 2:06:55 PM GMT-3","Franciny Silvano","Ticket #51464","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:06:57 PM GMT-3","Érika Mainardi ","Ticket: #51459","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:07:17 PM GMT-3","Milenna","Ticket #51369","INTERCAMBIO"
"2023/05/10 2:08:05 PM GMT-3","Milenna","Ticket #51370","PF"
"2023/05/10 2:08:44 PM GMT-3","juliana","#51241","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:12:01 PM GMT-3","VAL","Ticket #51483","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:13:07 PM GMT-3","Franciny Silvano","Ticket #51466","PF"
"2023/05/10 2:14:49 PM GMT-3","VAL","Ticket #51487","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:16:40 PM GMT-3","VAL","Ticket #51491","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:16:41 PM GMT-3","Mallone Almeida","Ticket: #51375","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:17:57 PM GMT-3","VAL","Ticket #51489","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:19:22 PM GMT-3","VAL ","Ticket #51488","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:20:45 PM GMT-3","Caleb Dias ","Ticket: #51493","PF"
"2023/05/10 2:24:26 PM GMT-3","arian","Ticket: #51426","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:26:37 PM GMT-3","Franciny Silvano","Ticket #51470","PF"
"2023/05/10 2:29:53 PM GMT-3","Franciny Silvano","Ticket #51477","PJ COLETIVO ADESÃO"
"2023/05/10 2:30:40 PM GMT-3","Natalia","Ticket: #51496","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:32:05 PM GMT-3","JULIANA","#51281","PF"
"2023/05/10 2:32:39 PM GMT-3","Natalia","Ticket: #51505","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:37:21 PM GMT-3","arian","#51426","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:39:57 PM GMT-3"," estela","Ticket: #51481","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:39:57 PM GMT-3","arian","Ticket: #51437","PF"
"2023/05/10 2:40:15 PM GMT-3","juliana","#51270","PF"
"2023/05/10 2:43:25 PM GMT-3","juliana","Ticket #51272","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:49:10 PM GMT-3","Milenna ","Ticket #51520","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:52:22 PM GMT-3","Franciny Silvano","Ticket #51478","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:59:23 PM GMT-3","Caleb Dias ","Ticket: #51524","PJ COLETIVO EMPRESARIAL"
"2023/05/10 2:59:36 PM GMT-3","Davi","Ticket #51356","INTERCAMBIO"
